review,rating,date,bank,source
perfect app,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
owww cbe,5,2026-04-22,Commercial Bank of Ethiopia,Google Play
"Very secured, fast and favourable",5,2026-04-22,Commercial Bank of Ethiopia,Google Play
very nice 👌,5,2026-04-21,Commercial Bank of Ethiopia,Google Play
اليش يتعخر معرف والله,5,2026-04-21,Commercial Bank of Ethiopia,Google Play
good application 💯💯💯.,5,2026-04-21,Commercial Bank of Ethiopia,Google Play
Nice App,5,2026-04-21,Commercial Bank of Ethiopia,Google Play
it cost us a lot just by transfer and in other way not fair,1,2026-04-21,Commercial Bank of Ethiopia,Google Play
Great app,5,2026-04-21,Commercial Bank of Ethiopia,Google Play
Interesting app,5,2026-04-21,Commercial Bank of Ethiopia,Google Play
"i didn't get feed back through message ,Why so?",5,2026-04-21,Commercial Bank of Ethiopia,Google Play
good and fast,5,2026-04-21,Commercial Bank of Ethiopia,Google Play
"v, good",5,2026-04-21,Commercial Bank of Ethiopia,Google Play
very bad experience as its very slow,1,2026-04-20,Commercial Bank of Ethiopia,Google Play
i luv it,5,2026-04-20,Commercial Bank of Ethiopia,Google Play
Good&fast,5,2026-04-20,Commercial Bank of Ethiopia,Google Play
የጣት አሻራ አገልግሎት አላገኘሁም። አጠቃቀሙ ጠፍቶኝ ይሆን?,4,2026-04-19,Commercial Bank of Ethiopia,Google Play
Rtgs limit very small,3,2026-04-19,Commercial Bank of Ethiopia,Google Play
"Trasaction history not sorted in time basis, besides the hilight transaction and its details which is found by clicking the highht transaction are diffrent. Generally, the tansaction history page has a critical problem",3,2026-04-19,Commercial Bank of Ethiopia,Google Play
best bank for Android application form market place and key number,5,2026-04-19,Commercial Bank of Ethiopia,Google Play
i like cbe service,5,2026-04-19,Commercial Bank of Ethiopia,Google Play
አሪፍ ነው,4,2026-04-18,Commercial Bank of Ethiopia,Google Play
it is the best application in the Ethiopia I like it this,5,2026-04-18,Commercial Bank of Ethiopia,Google Play
super spp,5,2026-04-18,Commercial Bank of Ethiopia,Google Play
I have 1 year and thank you for yo ur genuine service,5,2026-04-18,Commercial Bank of Ethiopia,Google Play
ካየህዋቸው ተመሳሳይ መተግበርያዎች በጣም ጥሩ መተግበርያ ነው,4,2026-04-18,Commercial Bank of Ethiopia,Google Play
excellent,5,2026-04-18,Commercial Bank of Ethiopia,Google Play
Excellent,5,2026-04-18,Commercial Bank of Ethiopia,Google Play
"im having a terrible experience with this app, im getting 'unable to connect' error, this happened for a while now and they didnt fix it, it is so unreliable in times i need it that i have to resort to using ussd code instead of it. please fix this issue",1,2026-04-17,Commercial Bank of Ethiopia,Google Play
Absolute garbage,1,2026-04-17,Commercial Bank of Ethiopia,Google Play
CBE does not offer anything international.,3,2026-04-17,Commercial Bank of Ethiopia,Google Play
korsa,5,2026-04-17,Commercial Bank of Ethiopia,Google Play
its good,5,2026-04-17,Commercial Bank of Ethiopia,Google Play
very nice app,5,2026-04-16,Commercial Bank of Ethiopia,Google Play
it looks fantasy,5,2026-04-16,Commercial Bank of Ethiopia,Google Play
it's best app to use recently and upgraded day to day for internationalization,5,2026-04-16,Commercial Bank of Ethiopia,Google Play
it is more convenient app,5,2026-04-16,Commercial Bank of Ethiopia,Google Play
gooooodddd.....,5,2026-04-15,Commercial Bank of Ethiopia,Google Play
This is app is not fast and not working well in all android phone. eg it is not functioning well using one plus phone.,1,2026-04-15,Commercial Bank of Ethiopia,Google Play
Factory reset made me to lose my pin to login to my account!,5,2026-04-15,Commercial Bank of Ethiopia,Google Play
keeps on saying bucket override when I try to pay henon school fee,2,2026-04-15,Commercial Bank of Ethiopia,Google Play
"life longe bank CBE , Save & change your life.",5,2026-04-15,Commercial Bank of Ethiopia,Google Play
does not working well,5,2026-04-15,Commercial Bank of Ethiopia,Google Play
it's v good app sometimes there is a problem on other bank transfers,4,2026-04-15,Commercial Bank of Ethiopia,Google Play
pls speedup for quick uses,5,2026-04-14,Commercial Bank of Ethiopia,Google Play
"before, it was nice. now it does not work and crash automatically",2,2026-04-14,Commercial Bank of Ethiopia,Google Play
Pls facilitate transfer to telebirr agent,3,2026-04-14,Commercial Bank of Ethiopia,Google Play
sestemaa siresun osoo manaa banki hindemne namnii barbade national id isa fayadamee osoo banachun danda'ame bayye nammati tola live event qabate,3,2026-04-13,Commercial Bank of Ethiopia,Google Play
I customer for commercial bank of Ethiopia I trade,5,2026-04-13,Commercial Bank of Ethiopia,Google Play
it's has an issue,1,2026-04-13,Commercial Bank of Ethiopia,Google Play
accessibility need to be taken seriously. There are people excluded because of inaccessible apps.,3,2026-04-13,Commercial Bank of Ethiopia,Google Play
"This application was not that great, and its performance has unfortunately declined further. For the past week, I have been unable to access my balance or transfer funds. This situation is causing considerable concern and inconvenience, as I cannot access my money in a timely manner. This has resulted in late payments and a loss of confidence and trust. Furthermore, I have not received a response to my message to the customer support team.",1,2026-04-12,Commercial Bank of Ethiopia,Google Play
🤙,5,2026-04-12,Commercial Bank of Ethiopia,Google Play
I can't download this app please assist how it can be downloaded,1,2026-04-12,Commercial Bank of Ethiopia,Google Play
"my favorite so far, but, how come we are not able to download the app and fix our problem ourselves? it is not fair to go to the bank and fix it for you? please think about it. Thank you",5,2026-04-11,Commercial Bank of Ethiopia,Google Play
lulit tukka giro,5,2026-04-11,Commercial Bank of Ethiopia,Google Play
Enough good even it hasn't transferring for other telebirr users,5,2026-04-11,Commercial Bank of Ethiopia,Google Play
not good not bad.,3,2026-04-11,Commercial Bank of Ethiopia,Google Play
easy fast helpful for our business,5,2026-04-11,Commercial Bank of Ethiopia,Google Play
bad strresing,1,2026-04-11,Commercial Bank of Ethiopia,Google Play
cool,5,2026-04-11,Commercial Bank of Ethiopia,Google Play
100%100 Fast and Amazing app !! 🏆🏆🏆🏆🏆🏆🏆🏆 💞🌷🇪🇹,5,2026-04-10,Commercial Bank of Ethiopia,Google Play
Not that happy at this app,3,2026-04-10,Commercial Bank of Ethiopia,Google Play
Best,5,2026-04-10,Commercial Bank of Ethiopia,Google Play
crush alot,1,2026-04-10,Commercial Bank of Ethiopia,Google Play
itii fayadamaa namaa fayadaa kuniin,5,2026-04-10,Commercial Bank of Ethiopia,Google Play
Musxafaa,5,2026-04-09,Commercial Bank of Ethiopia,Google Play
well expriences,5,2026-04-09,Commercial Bank of Ethiopia,Google Play
great 👍,5,2026-04-09,Commercial Bank of Ethiopia,Google Play
I had good time with CBE,5,2026-04-09,Commercial Bank of Ethiopia,Google Play
crashes every time you need to update this app ASAP.. i will be changing bank if tjis continues,1,2026-04-09,Commercial Bank of Ethiopia,Google Play
easy and fast,5,2026-04-08,Commercial Bank of Ethiopia,Google Play
this app is very good,5,2026-04-08,Commercial Bank of Ethiopia,Google Play
በጣም ጥሩ ነው,4,2026-04-08,Commercial Bank of Ethiopia,Google Play
deduction but no transaction. not good,3,2026-04-08,Commercial Bank of Ethiopia,Google Play
Easy to use and reliable.,5,2026-04-07,Commercial Bank of Ethiopia,Google Play
difficult to see our transactions after aweek,1,2026-04-07,Commercial Bank of Ethiopia,Google Play
